DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
8/30/2019,22150,22450,22050,22200,3772930
8/29/2019,22250,22250,22000,22150,6341380
8/28/2019,22400,22500,22100,22250,4550410
8/27/2019,23000,23050,22400,22400,9238960
8/26/2019,23100,23150,22700,22800,6356560
8/23/2019,23250,23450,23100,23400,5386570
8/22/2019,23300,23350,23000,23050,3344500
8/21/2019,22900,23250,22800,23200,5427580
8/20/2019,23050,23300,22750,22900,5240700
8/19/2019,23000,23300,22950,23050,2540900
8/16/2019,23250,23350,22900,23050,9235190
8/15/2019,23000,23250,22800,23250,7114500
8/14/2019,23800,23800,23400,23450,4271400
8/13/2019,23300,23900,23300,23450,7402550
8/12/2019,23100,23850,23100,23600,8127360
8/9/2019,23400,23500,23000,23100,4355200
8/8/2019,22150,23300,22150,23300,12118430
8/7/2019,21900,22150,21800,22100,3757020
8/6/2019,21550,22000,21550,21750,6094200
8/5/2019,22350,22500,22000,22150,6928970
8/2/2019,22200,22550,22100,22450,7242250
8/1/2019,22500,22750,22250,22600,6221030
7/31/2019,21400,22550,21300,22550,6538340
7/30/2019,22100,22200,21500,21500,6426110
7/29/2019,22550,22550,21750,22100,8160570
7/26/2019,22600,23050,22450,22550,11272570
7/25/2019,21500,22400,21500,22400,9773450
7/24/2019,21700,21800,21400,21550,3747610
7/22/2019,20600,21200,20300,20750,6886080
7/19/2019,21000,21200,20400,20600,11442000
7/18/2019,21350,21400,20850,20950,8752000
7/17/2019,21650,21650,21300,21350,5461170
7/16/2019,21600,21650,21450,21600,4425807
7/15/2019,22000,22000,21450,21450,3902390
7/12/2019,21700,22000,21650,21900,3366890
7/11/2019,21400,21650,21400,21550,3504040
7/10/2019,21400,21750,21300,21350,5788990
7/9/2019,21800,21950,21350,21350,6891920
7/8/2019,22200,22300,21700,21750,8233220
7/5/2019,22300,22450,22150,22300,4681660
7/3/2019,22600,22650,22100,22150,6335447
7/2/2019,23000,23000,22550,22600,5016600
7/1/2019,23200,23300,22800,23000,5166060
6/28/2019,22550,23500,22450,23500,4696030
6/27/2019,22900,22950,22550,22550,5001799
6/26/2019,23050,23250,22900,22900,2967730
6/25/2019,23200,23400,23000,23100,5884860
6/24/2019,23800,24050,23300,23350,4073940
6/21/2019,23450,23850,23300,23850,8365940
6/20/2019,23450,23850,23300,23850,5423970
6/19/2019,23450,23850,23300,23850,8365940
6/18/2019,22450,23100,22450,23050,5957560
6/17/2019,22950,23000,22450,22450,4154160
6/14/2019,23000,23050,22950,22950,4480990
6/13/2019,23400,23400,22900,23000,3003260
6/12/2019,22900,23250,22850,23100,3332550
6/11/2019,23000,23200,22700,23000,6041100
6/10/2019,23250,23400,22850,22900,6887233
6/7/2019,23000,23300,22850,22950,5445349
6/6/2019,23900,23900,22350,22700,8777210
6/5/2019,24400,24700,23700,23800,2988710
6/4/2019,24600,24800,24050,24300,3487800
6/3/2019,24653,24691,24153,24230,13024790
5/31/2019,24614,24768,24614,24691,3594280
5/30/2019,24999,24999,24576,24614,6835119
5/29/2019,24845,24999,24653,24999,1660260
5/28/2019,24999,24999,24653,24653,3839040
5/27/2019,24691,24884,24691,24768,1699260
5/24/2019,24999,25114,24730,24730,3667800
5/23/2019,25384,25422,25114,25191,2533270
5/22/2019,25384,25691,25307,25384,2514350
5/21/2019,25345,25537,25230,25307,5312580
5/20/2019,24807,25422,24807,25230,2389410
5/17/2019,24845,24922,24768,24807,1541570
5/16/2019,24961,25153,24845,24845,4268610
5/15/2019,24922,25153,24845,24922,2537170
5/14/2019,24384,24922,24384,24922,1970770
5/13/2019,25345,25345,24614,24653,3810530
5/10/2019,25461,25537,25076,25268,1909270
5/9/2019,25422,25576,25076,25307,2292430
5/8/2019,25576,25614,25384,25499,2868810
5/7/2019,25999,25999,25691,25768,3005070
5/6/2019,25691,25999,25537,25730,4500050
5/3/2019,26153,26460,25922,26268,3495970
5/2/2019,25922,26153,25614,26153,5227620
4/26/2019,25537,25999,25461,25845,2820780
4/25/2019,25768,25884,25384,25461,4094750
4/24/2019,24614,25653,24537,25653,6851340
4/23/2019,24614,24614,24499,24537,3115950
4/22/2019,24114,24691,24114,24499,4323920
4/19/2019,24114,24384,24114,24307,2713930
4/18/2019,24153,24268,24076,24076,6442810
4/17/2019,24422,24499,24230,24307,1880340
4/16/2019,24537,24614,24268,24422,1546470
4/12/2019,24576,24653,24499,24653,1576930
4/11/2019,24614,24653,24499,24576,1536930
4/10/2019,24614,24653,24345,24576,2207380
4/9/2019,24961,24999,24614,24691,2884050
4/8/2019,24999,25114,24845,24922,1583300
4/5/2019,24922,25114,24807,24999,1836710
4/4/2019,24730,24922,24614,24922,2865210
4/3/2019,24614,24730,24537,24691,3875800
4/2/2019,24768,24807,24576,24691,1796860
4/1/2019,24653,24768,24537,24576,3670350
3/29/2019,25037,25153,24537,24768,6534270
3/28/2019,24730,24961,24691,24961,2513150
3/27/2019,24537,24884,24345,24884,2539450
3/26/2019,24307,24422,24076,24307,4636460
3/25/2019,23922,24345,23922,24153,5188630
3/22/2019,24691,24768,24499,24576,4792750
3/21/2019,24845,24961,24576,24614,3872980
3/20/2019,24230,25076,24230,24845,5825190
3/19/2019,24461,24576,23922,24537,7535900
3/18/2019,24230,24922,23499,24499,10697940
3/15/2019,25384,25461,24499,24537,17029640
3/14/2019,26422,26653,26076,26307,4362150
3/13/2019,26153,26422,26076,26422,3200950
3/12/2019,26230,26268,25922,26037,5402570
3/11/2019,26307,26307,25845,25999,4858680
3/8/2019,25768,26384,25691,26114,4654840
3/7/2019,26922,26960,26230,26230,4867700
3/6/2019,26922,27076,26460,26922,3373240
3/5/2019,26999,27384,26884,26960,5752680
3/4/2019,26730,27191,26691,27191,5043680
3/1/2019,25845,26345,25845,26345,4610790
2/28/2019,26576,26614,25845,25845,8138980
2/27/2019,26884,26884,26268,26460,5692300
2/26/2019,26768,27230,26345,26537,7834580
2/25/2019,26499,27345,26307,26768,11781980
2/22/2019,25114,26114,25037,26076,8619150
2/21/2019,24845,25153,24537,25153,6010110
2/20/2019,24384,24845,24345,24768,6198290
2/19/2019,24961,24999,24345,24384,6604440
2/18/2019,24691,25037,24576,24730,6419370
2/15/2019,23845,24999,23691,24307,10826200
2/14/2019,23768,24076,23691,23845,7155840
2/13/2019,22691,23922,22691,23768,11667050
2/12/2019,22230,22961,22115,22691,7982400
2/11/2019,21268,22230,21230,22230,4436470
2/1/2019,21422,21691,20768,20999,7280020
1/31/2019,22307,22422,21230,21307,8601120
1/30/2019,22768,22768,22191,22307,6891160
1/29/2019,22961,22961,22691,22845,1923250
1/28/2019,22922,22922,22768,22884,2737280
1/25/2019,23076,23153,22730,22845,1849490
1/24/2019,23153,23384,22961,22961,2387030
1/23/2019,22614,23384,22576,23114,3808700
1/22/2019,22845,22961,22653,22691,1815310
1/21/2019,22538,22884,22461,22730,2067140
1/18/2019,22538,22653,22422,22461,2370620
1/17/2019,22653,22653,22230,22230,1957850
1/16/2019,22614,22807,22422,22653,2981480
1/15/2019,22538,22768,22422,22538,2940430
1/14/2019,22614,22653,22191,22538,3727980
1/11/2019,22922,22999,22576,22576,2869370
1/10/2019,22768,23153,22691,22922,2765570
1/9/2019,22307,22922,22307,22691,2935340
1/8/2019,22614,22691,22076,22191,4239620
1/7/2019,23307,23345,22422,22576,2488920
1/4/2019,22614,23076,22076,22845,6669290
1/3/2019,23653,23768,22691,22691,7032510
1/2/2019,23768,24191,23691,23691,4196210
12/28/2018,23691,23807,23461,23807,8743520
12/27/2018,23730,23922,23307,23807,6583610
12/26/2018,23384,23384,22884,23307,4267010
12/25/2018,22807,23384,22268,23384,4991740
12/24/2018,23038,23461,23038,23461,3372070
12/21/2018,22538,23076,22538,23038,5210780
12/20/2018,22768,23191,22538,23038,7425590
12/19/2018,23922,24153,22307,22845,11655190
12/18/2018,24384,24653,23576,23922,8257460
12/17/2018,25768,25768,24922,24922,4745980
12/14/2018,26114,26114,25691,25768,3865790
12/13/2018,26037,26230,25922,26153,6720160
12/12/2018,25768,25961,25384,25845,3581530
12/11/2018,25845,26114,25230,25730,7028590
